File Name,File Path,Sheets
08_DATA_Cleaned_India_Fanta Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_India_Fanta Regular.xlsx,N/A
08_DATA_Cleaned_India_Fanta_Campa_Regular_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_India_Fanta_Campa_Regular_v2.xlsx,N/A
08_DATA_Cleaned_India_Sprite Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_India_Sprite Regular.xlsx,N/A
08_DATA_Cleaned_India_Sprite Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_India_Sprite Zero.xlsx,N/A
08_DATA_Cleaned_India_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_India_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_Indonesia_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Indonesia_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_IT_Fanta_Regular_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_IT_Fanta_Regular_v2.xlsx,N/A
08_DATA_Cleaned_IT_Fanta_Zero_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_IT_Fanta_Zero_v2.xlsx,N/A
08_DATA_Cleaned_IT_Sprite Regular_v2.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_IT_Sprite Regular_v2.xlsx,N/A
08_DATA_Cleaned_Kenya_Fanta Regular_v2 with CATUSE1_Type 040422.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Kenya_Fanta Regular_v2 with CATUSE1_Type 040422.xlsx,N/A
08_DATA_Cleaned_Kenya_Fanta Zero_v3.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Kenya_Fanta Zero_v3.xlsx,N/A
08_DATA_Cleaned_Kenya_Sprite Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_Kenya_Sprite Zero.xlsx,N/A
08_DATA_Cleaned_KR_Sprite_Regular.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_KR_Sprite_Regular.xlsx,N/A
08_DATA_Cleaned_KR_Sprite_Zero.xlsx,C:\Legacy Files\all_files\For TCS\Ipsos Fenix Raw Data\Monadic\08_DATA_Cleaned_KR_Sprite_Zero.xlsx,N/A
